hourAverageMax,highOzone,weekday,pressure500Height,windSpeed,humidity,tempSandburg,inversionBaseHeight,pressureGradientDaggett,inversionBaseTemp,visibility
3,0,Thursday,5480,8,20,NA,5000,-15,30.56,200
3,0,Friday,5660,6,NA,38,NA,-14,NA,300
3,0,Saturday,5710,4,28,40,2693,-25,47.66,250
5,0,Sunday,5700,3,37,45,590,-24,55.04,100
5,0,Monday,5760,3,51,54,1450,25,57.02,60
6,0,Tueday,5720,4,69,35,1568,15,53.78,60
4,0,Wednesday,5790,6,19,45,2631,-33,54.14,100
4,0,Thursday,5790,3,25,55,554,-28,64.76,250
6,0,Friday,5700,3,73,41,2083,23,52.52,120
7,0,Saturday,5700,3,59,44,2654,-2,48.38,120
4,0,Sunday,5770,8,27,54,5000,-19,48.56,120
6,0,Monday,5720,3,44,51,111,9,63.14,150
5,0,Tueday,5760,6,33,51,492,-44,64.58,40
4,0,Wednesday,5780,6,19,54,5000,-44,56.3,200
4,0,Thursday,5830,3,19,58,1249,-53,75.74,250
7,0,Friday,5870,2,19,61,5000,-67,65.48,200
5,0,Saturday,5840,5,19,64,5000,-40,63.32,200
9,0,Sunday,5780,4,59,67,639,1,66.02,150
4,0,Monday,5680,5,73,52,393,-68,69.8,10
3,0,Tueday,5720,4,19,54,5000,-66,54.68,140
4,0,Wednesday,5760,3,19,54,5000,-58,51.98,250
4,0,Thursday,5730,4,26,58,5000,-26,51.98,200
5,0,Friday,5700,5,59,69,3044,18,52.88,150
6,0,Saturday,5650,5,70,51,3641,23,47.66,140
9,0,Sunday,5680,3,64,53,111,-10,59.54,50
5,0,Monday,5780,3,NA,56,692,-25,67.1,0
6,0,Tueday,5820,5,19,59,597,-52,70.52,70
6,0,Wednesday,5830,4,NA,59,NA,-44,NA,150
6,0,Thursday,5810,5,19,64,1791,-15,64.76,150
11,1,Friday,5790,3,28,63,793,-15,65.84,120
10,1,Saturday,5800,2,32,63,531,-38,75.92,40
7,0,Sunday,5820,5,19,62,419,-29,75.74,120
12,1,Monday,5770,8,76,63,816,-7,66.2,6
9,0,Tueday,5670,3,69,54,3651,62,49.1,30
2,0,Wednesday,5590,3,76,36,5000,70,37.94,100
3,0,Thursday,5410,6,64,31,5000,28,32.36,200
3,0,Friday,5350,7,62,30,1341,18,45.86,60
2,0,Saturday,5480,9,72,36,5000,0,38.66,350
3,0,Sunday,5600,7,76,42,3799,-18,45.86,250
3,0,Monday,5490,11,72,37,5000,32,38.12,350
4,0,Tueday,5560,10,72,41,5000,-1,37.58,300
6,0,Wednesday,5700,3,32,46,5000,-30,45.86,300
8,0,Thursday,5680,5,50,51,5000,-8,45.5,300
6,0,Friday,5700,4,86,55,2398,21,53.78,200
4,0,Saturday,5650,5,61,41,5000,51,36.32,100
3,0,Sunday,5610,5,62,41,4281,42,41.36,250
7,0,Monday,5730,5,66,49,1161,27,52.88,200
11,1,Tueday,5770,5,68,45,2778,2,55.76,200
13,1,Wednesday,5770,3,82,55,442,26,58.28,40
4,0,Thursday,5700,5,NA,45,NA,82,NA,2
6,0,Friday,5690,8,21,41,5000,-30,42.26,300
5,0,Saturday,5700,3,19,45,5000,-53,43.88,300
4,0,Sunday,5730,11,19,51,5000,-43,49.1,300
4,0,Monday,5690,7,19,53,5000,7,49.1,300
6,0,Tueday,5640,5,68,50,5000,24,42.08,300
10,1,Wednesday,5720,6,63,60,1341,19,59.18,150
15,1,Thursday,5740,3,54,54,1318,2,64.58,150
23,1,Friday,5740,3,47,53,885,-4,67.1,80
17,1,Saturday,5740,3,56,53,360,3,67.1,40
7,0,Sunday,5670,7,61,44,3497,73,49.46,40
2,0,Monday,5550,10,74,40,5000,73,40.1,80
3,0,Tueday,5470,7,46,30,5000,44,29.3,300
3,0,Wednesday,5320,11,45,25,5000,39,27.5,200
5,0,Thursday,NA,8,33,39,5000,15,30.02,500
4,0,Friday,5530,3,43,40,5000,-12,33.62,140
6,0,Saturday,5600,3,21,45,5000,-2,39.02,140
7,0,Sunday,5660,7,57,51,5000,30,42.08,140
7,0,Monday,5580,5,42,48,3608,24,39.38,100
6,0,Tueday,5510,5,50,45,5000,38,32.9,140
3,0,Wednesday,5530,5,61,47,5000,56,35.6,200
2,0,Thursday,5620,9,61,43,5000,66,34.34,120
8,0,Friday,5690,0,60,49,613,-27,59.72,300
12,1,Saturday,5760,4,31,56,334,-9,64.4,300
12,1,Sunday,5740,3,66,53,567,13,61.88,150
16,1,Monday,5780,5,53,61,488,-20,64.94,2
9,0,Tueday,5790,2,42,63,531,-15,71.06,50
24,1,Wednesday,5760,3,60,70,508,7,66.56,70
13,1,Thursday,5700,4,82,57,1571,68,56.3,17
8,0,Friday,5680,4,57,35,721,28,55.4,140
10,1,Saturday,5720,5,21,52,505,-49,67.28,140
8,0,Sunday,5720,5,19,59,377,-27,73.22,300
9,0,Monday,5730,4,32,67,442,-9,75.74,200
10,1,Tueday,5710,5,77,57,902,54,60.44,250
13,1,Wednesday,5750,6,70,NA,3188,53,58.64,80
14,1,Thursday,5720,4,71,42,1381,4,56.3,60
9,0,Friday,5710,3,19,55,5000,-16,50,100
11,1,Saturday,5600,6,45,40,5000,38,46.94,150
7,0,Sunday,5630,4,44,39,1302,40,52.7,150
9,0,Monday,5690,7,70,57,1292,-5,53.6,200
12,1,Tueday,5730,6,45,58,5000,-14,52.7,100
12,1,Wednesday,5710,3,46,62,472,34,62.96,300
8,0,Thursday,5610,6,50,51,1404,42,54.5,120
9,0,Friday,5680,5,69,61,944,35,55.76,100
5,0,Saturday,5620,6,67,34,5000,75,35.24,200
4,0,Sunday,5420,7,69,35,5000,41,30.92,200
4,0,Monday,5540,5,54,35,5000,62,33.44,200
9,0,Tueday,5590,6,51,48,5000,44,42.08,300
13,1,Wednesday,5690,6,63,59,2014,31,53.42,300
5,0,Thursday,5550,7,63,41,5000,56,37.22,250
10,1,Friday,5620,7,57,58,5000,27,47.66,120
10,1,Saturday,5630,6,61,51,524,57,54.68,140
7,0,Sunday,5580,7,78,46,5000,55,38.48,200
5,0,Monday,5560,4,65,40,5000,59,35.24,140
4,0,Tueday,5440,5,44,35,5000,24,32.54,80
7,0,Wednesday,5480,7,51,46,2490,29,47.48,300
3,0,Thursday,5620,5,73,39,5000,107,31.28,100
4,0,Friday,5450,11,35,32,5000,36,33.44,300
7,0,Saturday,5660,6,35,47,5000,28,39.38,200
11,1,Sunday,5680,6,61,50,1144,30,53.6,120
15,1,Monday,5760,4,50,65,547,1,66.92,100
22,1,Tueday,5790,4,57,66,413,10,69.62,120
17,1,Wednesday,5720,5,68,69,610,46,63.68,60
7,0,Thursday,5660,6,58,59,3638,81,51.26,120
10,1,Friday,5710,5,65,64,3848,45,56.84,100
19,1,Saturday,5780,7,78,68,1479,40,68,100
18,1,Sunday,5750,7,73,49,1108,55,65.48,27
12,1,Monday,5700,5,41,52,869,0,58.1,40
6,0,Tueday,5620,9,47,56,5000,43,38.3,140
9,0,Wednesday,5650,6,46,55,5000,49,37.94,150
19,1,Thursday,5730,5,61,66,1148,31,60.8,100
21,1,Friday,5810,4,55,74,856,4,75.38,100
29,1,Saturday,5790,4,60,76,807,16,73.04,120
16,1,Sunday,5740,8,78,70,2040,46,63.5,150
5,0,Monday,NA,8,62,61,5000,63,42.62,100
11,1,Tueday,5690,4,71,67,314,60,59,120
2,0,Wednesday,NA,4,67,45,5000,77,42.62,80
2,0,Thursday,5680,6,77,41,5000,75,40.82,120
12,1,Friday,5650,8,66,61,1410,20,55.22,140
16,1,Saturday,5730,6,74,68,360,23,62.42,120
22,1,Sunday,5730,3,78,69,1568,32,67.64,70
20,1,Monday,5760,7,78,74,1184,40,68.72,80
27,1,Tueday,5830,6,75,74,898,24,73.4,70
33,1,Wednesday,5880,3,80,80,436,0,86.36,40
25,1,Thursday,5890,6,88,84,774,6,86,20
31,1,Friday,5850,4,76,78,1181,50,79.88,17
18,1,Saturday,5820,6,63,80,1991,47,69.62,40
16,1,Sunday,NA,7,68,73,2057,71,67.28,50
24,1,Monday,5800,7,78,76,1597,56,68,50
16,1,Tueday,5740,3,74,74,1184,52,69.44,70
12,1,Wednesday,5710,7,63,66,3005,58,59.18,80
9,0,Thursday,5720,8,62,66,2880,53,57.38,120
12,1,Friday,5710,7,69,63,NA,66,56.3,120
16,1,Saturday,5740,5,53,69,2125,64,59,100
NA,1,Sunday,5720,3,64,66,1751,67,59.9,120
8,0,Monday,5690,9,62,62,3720,74,50.9,120
9,0,Tueday,5730,5,71,67,4337,66,59.36,200
29,1,Wednesday,5780,3,68,80,2053,31,72.86,120
20,1,Thursday,5790,7,79,76,1958,70,70.52,40
5,0,Friday,5750,3,76,65,3644,86,59.36,70
5,0,Saturday,5680,6,71,65,1368,75,58.46,100
11,1,Sunday,5720,3,66,63,3539,73,53.6,120
12,1,Monday,5770,4,81,62,2785,49,63.32,100
19,1,Tueday,5800,4,72,68,984,26,69.26,120
17,1,Wednesday,5780,8,92,68,1804,56,68,70
19,1,Thursday,5740,6,71,69,3234,77,62.78,80
16,1,Friday,5730,6,64,66,3441,67,60.98,100
14,1,Saturday,5760,6,68,70,1578,61,60.8,100
10,1,Sunday,5770,7,59,70,1850,76,60.8,120
9,0,Monday,5690,8,67,64,2962,80,59.36,120
7,0,Tueday,5650,6,66,61,2670,54,55.4,120
5,0,Wednesday,5610,3,61,52,5000,76,42.08,150
2,0,Thursday,5570,9,81,48,5000,57,40.82,140
12,1,Friday,5690,5,63,59,5000,46,51.26,140
22,1,Saturday,5760,3,58,67,987,28,63.86,140
17,1,Sunday,5810,5,68,66,1148,43,66.92,140
26,1,Monday,5830,4,71,74,898,-24,77.9,60
27,1,Tueday,5880,6,67,83,777,-1,82.58,30
14,1,Wednesday,5860,3,64,78,1279,75,71.6,17
11,1,Thursday,5830,6,64,75,1046,69,68.72,80
23,1,Friday,5870,4,69,84,1167,50,74.3,60
26,1,Saturday,5860,3,77,81,987,45,75.74,100
21,1,Sunday,5800,3,61,79,1144,57,71.24,120
15,1,Monday,5800,4,69,79,977,60,70.7,150
20,1,Tueday,5770,5,64,65,770,26,75.56,120
15,1,Wednesday,5860,4,33,81,629,-11,86.36,140
18,1,Thursday,5870,7,38,84,337,-14,89.78,140
26,1,Friday,5870,4,54,83,590,26,85.1,120
19,1,Saturday,5860,6,39,90,400,19,83.3,120
13,1,Sunday,5880,5,43,90,580,9,87.26,80
30,1,Monday,5870,7,55,93,646,25,89.24,140
26,1,Tueday,5860,4,77,88,826,41,84.38,140
15,1,Wednesday,5830,5,63,72,823,52,74.48,150
16,1,Thursday,5820,5,65,72,2116,47,70.34,120
16,1,Friday,5820,8,64,70,2972,52,64.4,120
19,1,Saturday,5860,6,68,78,2752,41,69.98,140
23,1,Sunday,5870,3,76,87,1377,37,78.44,100
28,1,Monday,5890,6,71,91,1486,33,79.88,50
34,1,Tueday,5900,6,86,87,990,22,85.1,40
33,1,Wednesday,5890,5,65,91,508,29,85.28,100
NA,1,Thursday,5890,5,69,90,688,37,83.3,80
24,1,Friday,5910,4,73,88,1204,56,79.88,100
17,1,Saturday,5900,5,69,83,2414,63,76.46,60
10,1,Sunday,5860,3,64,78,2385,67,70.34,50
14,1,Monday,5830,3,63,79,2326,64,71.24,70
13,1,Tueday,5850,9,72,77,3389,56,68.72,80
17,1,Wednesday,5830,6,82,81,2818,58,71.78,80
15,1,Thursday,NA,6,83,76,3083,75,72.32,80
22,1,Friday,5810,8,69,76,2394,54,69.62,90
19,1,Saturday,5830,4,74,78,2746,61,69.44,120
20,1,Sunday,5830,5,69,75,2493,55,72.5,120
25,1,Monday,5840,7,72,82,1528,42,73.94,100
28,1,Tueday,5870,6,73,84,111,40,78.08,60
29,1,Wednesday,5870,4,90,86,1899,45,76.46,40
NA,1,Thursday,5850,4,79,70,2020,37,73.22,50
23,1,Friday,5860,3,80,80,1289,32,75.2,40
26,1,Saturday,5900,3,73,80,984,35,78.8,70
14,1,Sunday,5890,4,71,84,836,28,81.5,80
13,1,Monday,5880,4,78,84,826,27,79.34,80
26,1,Tueday,5890,6,80,81,1105,39,74.12,80
22,1,Wednesday,5870,8,74,85,1023,46,77.18,80
11,1,Thursday,NA,6,70,79,1453,68,70.16,80
15,1,Friday,NA,6,71,72,2375,52,66.2,100
14,1,Saturday,5820,6,63,73,2956,46,67.28,120
13,1,Sunday,5780,6,57,72,2988,56,65.66,150
9,0,Monday,5770,3,55,68,4291,60,62.24,200
12,1,Tueday,5790,4,65,65,3330,59,58.64,150
15,1,Wednesday,5820,6,NA,64,NA,31,NA,150
12,1,Thursday,5840,6,NA,75,NA,35,NA,150
15,1,Friday,5800,7,NA,69,NA,49,NA,150
25,1,Saturday,5830,4,NA,69,NA,30,NA,100
18,1,Sunday,5800,3,NA,72,NA,43,NA,100
14,1,Monday,5840,7,65,79,1233,30,70.52,100
22,1,Tueday,NA,3,74,78,1450,36,69.8,30
24,1,Wednesday,5910,5,72,81,1069,28,74.3,80
19,1,Thursday,5890,5,79,80,984,57,73.4,70
16,1,Friday,5870,6,62,76,1653,71,68.72,60
7,0,Saturday,5780,7,65,59,3930,68,59.18,150
2,0,Sunday,5730,5,77,55,5000,73,51.62,200
4,0,Monday,5780,7,70,66,5000,45,51.26,200
6,0,Tueday,5750,7,58,64,4212,46,56.84,200
12,1,Wednesday,5760,5,58,62,5000,52,49.82,250
9,0,Thursday,5730,7,72,67,5000,31,57.38,300
15,1,Friday,5730,5,77,74,1545,43,65.66,70
17,1,Saturday,5790,4,57,74,994,44,69.62,300
13,1,Sunday,5750,3,67,70,1125,55,68,150
20,1,Monday,5880,3,73,77,636,16,73.94,300
22,1,Tueday,5890,7,70,83,748,32,77,30
24,1,Wednesday,5880,4,73,81,692,44,77.72,100
26,1,Thursday,5870,7,73,73,807,39,78.8,100
32,1,Friday,5900,6,71,87,869,19,78.98,17
33,1,Saturday,5920,4,77,89,800,24,85.64,20
27,1,Sunday,5930,3,68,92,393,6,91.76,4
38,1,Monday,5950,5,62,92,557,0,90.68,70
23,1,Tueday,5950,8,61,93,620,27,85.64,30
19,1,Wednesday,5900,5,71,93,1404,33,84.74,70
19,1,Thursday,5890,8,77,86,898,21,80.6,60
15,1,Friday,5860,7,71,76,377,-2,83.3,40
28,1,Saturday,5840,5,67,81,528,17,78.8,50
10,1,Sunday,5800,6,74,78,2818,26,72.68,70
14,1,Monday,5760,7,65,73,3247,10,67.28,140
26,1,Tueday,5810,6,82,80,895,0,78.08,100
17,1,Wednesday,5850,4,67,81,721,0,80.24,120
3,0,Thursday,NA,5,73,69,774,-27,75.56,100
2,0,Friday,NA,6,74,59,134,0,77.18,70
3,0,Saturday,5760,7,87,52,5000,39,51.8,150
14,1,Sunday,5860,4,71,63,1965,13,60.98,50
29,1,Monday,5830,5,77,72,1853,10,70.88,70
18,1,Tueday,5840,5,78,75,2342,7,71.42,40
3,0,Wednesday,5800,7,72,55,5000,56,51.62,70
7,0,Thursday,NA,10,67,59,5000,37,47.48,120
9,0,Friday,5790,3,71,61,4028,35,55.04,140
19,1,Saturday,5830,5,71,71,2716,26,63.68,140
8,0,Sunday,5810,5,76,71,3671,31,65.84,100
NA,1,Monday,5770,5,76,66,3431,26,62.24,50
23,1,Tueday,5780,6,76,72,3795,31,66.92,70
13,1,Wednesday,5800,6,73,75,3120,35,66.92,40
NA,1,Thursday,5770,3,66,71,4133,28,63.5,40
7,0,Friday,5800,5,80,65,2667,17,63.5,100
3,0,Saturday,5780,9,73,61,5000,39,52.7,120
5,0,Sunday,5790,8,80,60,5000,36,48.92,120
11,1,Monday,5770,5,75,64,308,25,68.72,140
12,1,Tueday,5750,4,68,61,2982,18,59.9,120
5,0,Wednesday,5640,5,93,63,5000,30,52.7,70
4,0,Thursday,5640,7,57,62,5000,25,51.26,150
5,0,Friday,5650,3,70,59,5000,38,47.66,200
4,0,Saturday,5710,6,65,56,5000,35,47.84,200
10,1,Sunday,5760,6,66,59,3070,13,60.08,200
17,1,Monday,5840,4,73,72,830,0,72.14,70
26,1,Tueday,5880,3,77,71,711,-9,75.56,40
30,1,Wednesday,5890,5,80,75,1049,-10,78.98,50
18,1,Thursday,5890,4,73,71,511,-39,83.84,17
12,1,Friday,5890,5,19,71,5000,-40,67.64,80
7,0,Saturday,5890,6,19,73,5000,-34,69.44,250
15,1,Sunday,5850,3,73,78,377,-3,78.8,200
12,1,Monday,5830,5,76,73,862,27,73.58,2
7,0,Tueday,5830,8,77,71,337,-17,81.14,20
28,1,Wednesday,5860,5,86,73,492,-2,82.22,7
22,1,Thursday,5830,5,76,71,1394,13,75.02,30
18,1,Friday,5800,7,66,66,3146,27,64.04,50
14,1,Saturday,5830,4,74,69,2234,11,66.74,70
24,1,Sunday,5790,5,71,69,2109,21,69.62,17
10,1,Monday,5730,4,84,64,5000,23,54.5,80
14,1,Tueday,5780,5,74,65,2270,-7,68.9,50
9,0,Wednesday,5740,7,48,54,2191,-13,68.72,60
12,1,Thursday,5710,8,75,62,3448,12,58.64,60
7,0,Friday,5690,6,74,56,5000,13,48.92,80
7,0,Saturday,5670,4,67,55,5000,11,49.46,50
6,0,Sunday,5760,4,75,58,2719,25,56.84,50
13,1,Monday,5820,5,71,48,1899,21,62.06,40
5,0,Tueday,5790,3,35,54,5000,-41,52.52,40
3,0,Wednesday,5760,5,23,57,5000,-21,50.9,300
7,0,Thursday,5800,6,19,60,5000,-19,54.32,200
8,0,Friday,5810,7,59,61,2385,10,60.44,150
10,1,Saturday,5750,4,60,63,1938,0,62.6,100
12,1,Sunday,5840,0,38,65,590,-11,69.98,100
7,0,Monday,5860,3,NA,66,NA,-32,NA,60
5,0,Tueday,5870,6,NA,68,NA,-42,NA,150
6,0,Wednesday,5920,3,22,71,328,-40,80.6,150
4,0,Thursday,5900,0,NA,70,NA,-43,NA,200
5,0,Friday,5860,7,19,70,5000,-29,61.7,300
11,1,Saturday,5840,3,NA,70,NA,-9,NA,120
20,1,Sunday,5840,0,45,68,597,-22,73.58,30
4,0,Monday,5850,5,NA,64,NA,-25,NA,100
14,1,Tueday,5810,2,47,69,469,-4,71.78,50
16,1,Wednesday,5770,2,73,59,1541,18,63.14,20
5,0,Thursday,5710,4,67,49,5000,24,41.9,200
3,0,Friday,5500,9,56,39,5000,15,41.72,120
5,0,Saturday,5660,3,54,50,5000,27,44.6,300
1,0,Sunday,5700,3,71,46,5000,54,42.8,200
5,0,Monday,5810,5,59,54,5000,-28,53.6,70
4,0,Tueday,5860,0,25,60,5000,-38,63.5,140
11,1,Wednesday,5900,0,24,62,5000,-36,60.08,150
6,0,Thursday,5850,5,41,65,2014,-20,69.98,200
8,0,Friday,5780,3,50,66,436,1,70.34,4
14,1,Saturday,5790,0,76,66,830,3,66.02,40
18,1,Sunday,5780,2,82,63,1112,-8,66.38,30
12,1,Monday,5770,2,81,62,1210,-17,67.82,30
9,0,Tueday,5750,2,85,60,501,-22,70.88,2
7,0,Wednesday,5780,5,76,63,875,-15,68.9,0
14,1,Thursday,5790,5,66,60,1601,7,62.06,30
4,0,Friday,5750,6,58,58,5000,59,41.9,60
3,0,Saturday,5670,8,19,34,5000,-63,37.04,150
3,0,Sunday,5760,0,19,36,5000,-52,41,100
3,0,Monday,5770,4,19,44,2280,-54,55.76,250
3,0,Tueday,5810,2,19,53,2047,-43,63.5,150
3,0,Wednesday,5810,2,19,52,5000,-69,56.48,200
3,0,Thursday,5870,3,19,53,3720,-50,61.34,200
3,0,Friday,5830,2,27,58,311,-24,69.98,200
6,0,Saturday,5760,0,64,55,2536,28,56.48,80
6,0,Sunday,5680,0,52,50,1154,-22,61.52,60
5,0,Monday,5780,4,19,48,2933,-40,59.9,300
3,0,Tueday,5810,3,19,51,3064,-33,62.78,200
4,0,Wednesday,5760,0,32,62,826,-16,64.76,300
7,0,Thursday,5680,0,58,40,5000,2,42.98,50
5,0,Friday,5750,0,26,44,111,-52,68.18,40
5,0,Saturday,5790,5,19,49,5000,-48,54.68,70
4,0,Sunday,5770,3,19,53,5000,-37,55.58,150
3,0,Monday,5750,0,19,53,5000,-26,51.08,150
2,0,Tueday,5720,0,19,53,5000,-31,51.44,70
5,0,Wednesday,5760,3,19,55,948,-48,70.7,200
3,0,Thursday,5780,0,19,51,5000,-50,50.9,120
4,0,Friday,5660,4,19,54,5000,-22,48.56,150
4,0,Saturday,5610,2,58,48,3687,-10,46.94,150
6,0,Sunday,5640,0,51,53,5000,0,44.24,60
6,0,Monday,5680,3,52,49,5000,-19,45.68,70
3,0,Tueday,5650,5,19,48,5000,-28,45.32,150
4,0,Wednesday,5710,4,19,51,5000,-25,48.38,300
3,0,Thursday,5680,4,57,47,508,-10,58.64,100
8,0,Friday,5630,4,50,50,2851,-5,50,70
5,0,Saturday,5770,0,NA,49,NA,-35,NA,40
3,0,Sunday,5800,7,19,51,3143,NA,60.26,140
2,0,Monday,5730,3,53,51,111,-14,72.5,200
3,0,Tueday,5690,3,23,51,5000,-36,51.26,70
5,0,Wednesday,5650,3,61,50,3704,18,46.94,40
1,0,Thursday,5550,4,85,39,5000,8,39.92,100
2,0,Friday,NA,4,68,37,5000,-3,37.22,70
